130,1,观望吧，明天缩量就上,起猛哥,05-28 04:57
172,5,夏天夏天夏天啤酒啤酒啤酒来了来了来了！,解套奔光明111,05-27 02:44
147,2,今天不会最高位就是76.10吧。不会接下来就跌吧？,股友Q080862C53,05-28 10:46
86,0,和重庆谁涨的多一点,SHR涅槃重生,05-28 11:35
81,0,拉起!,股友13310ZM713,05-28 11:26
98,2,还是你强，重庆跟吃了泻药一样,SHR涅槃重生,05-28 10:51
148,3,高考结束后，放暑假了，亲子游，夜宵，度假游，饮料酒类上量！,狠心的车辰希1,05-28 10:12
87,0,垃圾大盘股2个点到头了，与协创数据2选1买了你，脑袋进水了。草！,热潜1号2702,05-28 10:53
97,0,这个尿啤如果涨肯定会顺着5日线，如果超过了5日线肯定回调，追高一定被套。,股友958D1X3301,05-28 10:52
93,1,认载服输！！！,股友VRRdyg,05-28 10:28
97,2,涨停的节奏,股友iWWHhT,05-28 10:15
80,0,这一上一下的，心电图,股友13310ZM713,05-28 10:45
72,0,主力已进入,基民6tXVBH,05-28 10:44
85,0,兄弟们，我过来了,茳茳BOT,05-28 10:34
128,4,今天应该来个涨停吧‼,股友2c96553v65,05-28 10:03
73,0,$青岛啤酒(SH600600)$,股友6089835L5O,05-28 10:31
77,0,好猛，这两天这是咋了,股友HOUHgQ,05-28 10:28
76,0,大盘跳水了，我不卖你，你可以要给我顶住了OK？,不许牛逼罪,05-28 10:26
91,1,啤酒个个刷新高，你这鸟样？？？？？,n730013427463394,05-28 10:03
237,4,我看看怎么事儿。,stalkerwang,05-27 03:17
790,4,斥资6.65亿元溢价收购，青岛啤酒赔钱赚吆喝？,懂酒谛,05-21 03:03
4190,2,观酒周报｜会稽山连续涨停市值破百亿大关；4月全国白酒产量两位数下滑；姜宗祥当选青啤新一届董事长,XD会稽山资讯,05-26 10:52
198,1,黄酒大涨啤酒小涨收了黄酒的啤酒天天跌逻辑是？,股友TKqmAP,05-27 10:15
671,0,消费参考丨滔搏自救：耐克销售下滑，其他品牌能跟上吗？,滔搏资讯,05-28 07:56
65,0,青岛啤酒：连续3日融资净偿还累计1372.53万元（05-27）,青岛啤酒资讯,05-28 07:37
2203,1,10.06亿元主力资金今日抢筹食品饮料板块,交大昂立资讯,05-27 07:33
137,0,青岛千亿巨头，6亿买下黄酒厂,股友Tmac,05-27 06:59
228,0,明天开始8连板，黄酒股要起飞了，青岛啤酒积极拓展非啤酒业务跨产业布局，推动多元化,红了红火了火,05-27 06:55
116,0,不和永辉联合打造自有品牌？,股友M28t551617,05-27 06:35
109,0,啥时候分红啊,股友13310ZM713,05-27 06:02
108,0,厂里有小麦原料吗？,红色短线客,05-27 05:51
125,1,板块开始赶顶了，青啤是在空头趋势里的反抽，调整目标位66元,灵活的胖头鱼,05-27 03:57
3958,23,青岛啤酒600600青岛应该是见底了，缩量回踩年线后开始放量反弹。燕京和重庆也都,轻松的吴楠莉,05-27 10:44
2799,4,华泰证券：看好大众品龙头价值重估及新消费崛起驱动行情,伊利股份资讯,05-27 12:38
119,0,10派22，一手220,爱自己爱市场,05-27 04:06
101,0,套的人太多了，必须再涨涨，洗出去，再涨,爱自己爱市场,05-27 04:05
148,1,9.5万股比我还少5000股！这也叫解禁股份！小儿科都不是！,股友VRRdyg,05-26 07:11
57,1,可以跑了,股友13310ZM713,05-27 01:35
83,0,上海证券维持青岛啤酒买入评级 预计2025年净利润同比增长10.89%,公司研报提示,05-27 03:14
90,0,地摊经济？夏天大裤衩子+啤酒+小龙虾+烤串，,多思考一下,05-27 03:04
95,0,溜了溜了后面会怎么样呢，管他的,小高是韭菜,05-27 03:02
103,1,主升起爆点！！！,非著名耐心资本,05-27 02:15
1181,2,青啤2024年年度股东会点评：“五新”战略引领，开辟增长空间,青岛啤酒资讯,05-27 10:14
87,0,你已经自废武功了,股友M3GOwU,05-27 01:32
524,0,上海证券给予青岛啤酒买入评级，青啤2024年年度股东会点评：“五新”战略引领，开辟增长空间,青岛啤酒资讯,05-27 11:01
395,9,我成本73以上，一看72，以为回本了，准备卖。这下子，可能跌破70,愿赌服输188,05-26 10:55
204,1,夏天夏天夏天啤酒来了来了来了，看到89,解套奔光明111,05-26 10:16
160,2,纠结中，最后选择了再等等,白酒是种信仰,05-26 03:07
88,0,气泡黄酒哪家强，当然不是你,股友M3GOwU,05-27 10:32
83,0,你想怎么表演就怎么表演吧,股友M3GOwU,05-27 10:23
104,0,还是涨不过燕京，会稽山，古越，珠江，金枫，啤酒黄酒里最差,股友0922569Ea1,05-27 10:23
70,0,永远是,股友M3GOwU,05-27 10:17
78,0,垃圾垃圾垃圾,要一路发发,05-27 10:16
71,0,擦,要一路发发,05-27 10:15
76,0,垃圾,股友73Nl969703,05-27 10:12
85,0,会稽山涨停创新高了,股友M3GOwU,05-27 10:06
84,0,哈，这是沾了黄酒的光？,弗兰克668,05-27 10:04
501,4,青岛啤酒9.5万限售股将于5月30日上市流通,青岛啤酒资讯,05-26 05:15
70,0,青岛啤酒：融资净偿还39.25万元，融资余额3.38亿元（05-26）,青岛啤酒资讯,05-27 07:51
180,0,跌跌不休，再跌一下就再买一些。小仓位玩一下。,股友78q2x08235,05-26 10:48
83,1,青岛啤酒:青岛啤酒股份有限公司关于A股限制性股票激励计划预留授予限制性股票第三个解除限售期解锁暨上市公告,青岛啤酒资讯,05-26 04:55
168,0,你这，邋，急,我是正能量导师,05-26 09:01
110,1,大盘股这几个月有比它跌的周期更长的吗？,vjchris,05-26 11:44
96,1,机构天天推荐，肯定下跌。,蓝天的盛顺昊,05-26 11:23
55,0,青岛啤酒:北京市海问律师事务所关于青岛啤酒股份有限公司A股限制性股票激励计划预留授予限制性股票第三个解除限售期解除限售相关事项的法律意见书,青岛啤酒资讯,05-26 04:59
117,0,阔以啊，今天抄了个低点可惜涨的不多明儿爆发一下就涨5个点就走,基民jRsgkQ,05-26 03:16
96,0,可以干了,微风丬,05-26 03:01
208,2,招商证券维持青岛啤酒强烈推荐评级 目标价89元,公司研报提示,05-26 01:09
90,0,如此阴跌走势，会持续到何日？跌破前低，回到60元左右？,中国股市老韭菜,05-26 01:52
102,1,周线7连阴，666,资本管理大师,05-26 09:43
108,1,再这么跌下去，了吗，你是茅台还是五粮液？你够资格跟白酒相提并论吗，74.5,翻滚吧新仔,05-26 12:35
78,0,今天肯定红,平安健康518,05-26 01:03
98,0,抄底咯，机会难得，明天开始主升,非著名耐心资本,05-26 11:42
91,0,78进来的，越来越低了。,哆啦A梦来炒股,05-26 11:31
81,1,资金能不能高低切来这边？,望江而上三千尺,05-26 11:10
83,0,75的本怎办呀？,西村老男孩,05-26 11:17
129,1,重啤与青啤被市场淘汰了么为什么，走出了快退市的节奏捂脸其他啤酒都创新高了，我大福,Q秋天的落叶,05-26 10:27
330,0,啤酒、饮料攻防战：互相卷进对方的赛道｜新酒饮变局,指数增强小霸王,05-26 10:21
80,0,傻了,股友EvoN2d,05-26 10:13
76,0,气笑了,不许牛逼罪,05-26 10:08
